Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Impact Region,
Reason and
Duration",Vs Old,Duration,,,,,,,
QLD,Powerlink,"08/02/2023 07:00
Wednesday","08/02/2023 17:00
Wednesday",Nebo - Strathmore (822) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 3 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,,"QLD
Commissioning
10 Hours",#REF!,10 Hours,,,,,,,
TAS,TasNetworks,"08/02/2023 07:00
Wednesday","08/02/2023 14:30
Wednesday",Gordon - Chapel St No.2 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,,"TAS
Maintenance
7.5 Hours",#REF!,7.5 Hours,,,,,,,
QLD,Powerlink,"10/02/2023 08:00
Friday","10/02/2023 16:00
Friday",Broadsound - Nebo (834) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 2 hrs-Night: NA,Planned - RESUBMIT,"Planned - RESUBMIT
",,,T,,,"QLD
Maintenance
8 Hours",#REF!,8 Hours,,,,,,,
QLD,Powerlink,"21/02/2023 08:00
Tuesday","21/02/2023 17:00
Tuesday",Nebo - Strathmore (8845) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 2 hrs-Night: NA,Planned - RESUBMIT,"Planned - RESUBMIT
",,,T,,,"QLD
Maintenance
9 Hours",#REF!,9 Hours,,,,,,,
SA,ElectraNet,"01/03/2023 10:00
Wednesday","01/03/2023 13:00
Wednesday",Cherry Gardens - Tailem Bend 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
? Initiate the orderly separation of SA from the rest of the NEM.               
? Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 1 hr-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"
Maintenance
3 Hours",#REF!,3 Hours,,,,,,,
TAS,TasNetworks,"02/03/2023 14:00
Thursday","02/03/2023 15:00
Thursday",Gordon - Chapel St No.1 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 30 mins-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,,"TAS
Commissioning
60 Minutes",#REF!,60 Minutes,,,,,,,
QLD,Powerlink,"06/03/2023 07:00
Monday","06/03/2023 17:00
Monday",Strathmore No.1 275/132 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,,,"
Commissioning
10 Hours",#REF!,10 Hours,,,,,,,
QLD,Powerlink,"06/03/2023 17:01
Monday","20/04/2023 17:00
Thursday",Strathmore No.1 275/132 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: NA-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,,,"QLD
Commissioning
45 Days",#REF!,45 Days,,,,,,,
TAS,TasNetworks,"07/03/2023 07:00
Tuesday","07/03/2023 14:30
Tuesday",Gordon - Chapel St No.1 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"TAS
Maintenance
7.5 Hours",#REF!,7.5 Hours,,,,,,,
TAS,TasNetworks,"07/03/2023 09:00
Tuesday","07/03/2023 14:00
Tuesday",Gordon - Chapel St No.2 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"TAS
Maintenance
5 Hours",#REF!,5 Hours,,,,,,,
TAS,TasNetworks,"08/03/2023 07:00
Wednesday","08/03/2023 15:00
Wednesday",Gordon - Chapel St No.2 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"TAS
Maintenance
8 Hours",#REF!,8 Hours,,,,,,,
TAS,TasNetworks,"09/03/2023 07:00
Thursday","09/03/2023 14:00
Thursday",Gordon - Chapel St No.2 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"TAS
Maintenance
7 Hours",#REF!,7 Hours,,,,,,,
VIC,AusNet,"18/03/2023 05:00
Saturday","21/03/2023 17:00
Tuesday",Keilor - South Morang 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
? Cause a large reduction in generation in Victoria
? Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
3.5 Days",#REF!,3.5 Days,,,,,,,
QLD,Powerlink,"20/03/2023 08:00
Monday","24/03/2023 16:00
Friday",Strathmore - Ross (8858) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions.",Day: 72 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Commissioning
4.3 Days",#REF!,4.3 Days,,,,,,,
VIC,AusNet,"22/03/2023 05:00
Wednesday","22/03/2023 17:00
Wednesday",Keilor - South Morang 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
? Cause a large reduction in generation in Victoria
? Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 6 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
12 Hours",#REF!,12 Hours,,,,,,,
VIC,AusNet,"23/03/2023 05:00
Thursday","23/03/2023 17:00
Thursday",Keilor - South Morang 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
? Cause a large reduction in generation in Victoria
? Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 6 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
12 Hours",#REF!,12 Hours,,,,,,,
VIC,AusNet,"24/03/2023 05:00
Friday","24/03/2023 17:00
Friday",Keilor - South Morang 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
? Cause a large reduction in generation in Victoria
? Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 6 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
12 Hours",#REF!,12 Hours,,,,,,,
