Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Reason and
Duration",Duration,,,,,,,
NSW,Transgrid,"23/09/2021 06:04
Thursday","27/09/2021 12:00
Monday",Dumaresq - Sapphire 330 kV line,"<<UPDATED since the last notification>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 8 hrs-Night: 8 hrs,In Progress - PTP,"In Progress - PTP
",,,,T,T,"Commissioning
4.2 Days",4.2 Days,,,,,,,
VIC,AusNet,"24/09/2021 00:44
Friday","28/09/2021 06:30
Tuesday",Hazelwood - South Morang No.2 500 kV Line,"<<NEW since the last notification>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could cause a large reduction in generation in Victoria. ",Day: NA-Night: NA,In Progress - PTP,"In Progress - PTP
",,,,,,"Voltage Control
4.2 Days",4.2 Days,,,,,,,
VIC,AusNet,"28/09/2021 06:30
Tuesday","28/09/2021 17:00
Tuesday",Hazelwood - South Morang No.2 500 kV Line,"<<NEW since the last notification>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could cause a large reduction in generation in Victoria. ",Day: 1 hr-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"Maintenance
10.5 Hours",10.5 Hours,,,,,,,
NSW,Transgrid,"28/09/2021 08:00
Tuesday","28/09/2021 17:00
Tuesday",Tamworth Liddell PS (84) 330 kV Line,"A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: 2 hrs,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Commissioning
9 Hours",9 Hours,,,,,,,
VIC,AusNet,"28/09/2021 17:00
Tuesday","28/09/2021 17:30
Tuesday",Hazelwood - South Morang No.2 500 kV Line,"<<This outage has been WITHDRAWN!>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could cause a large reduction in generation in Victoria. ",Day: 30 mins-Night: NA,Withdrawn,"Withdrawn
",,,,,,"Maintenance
30 Minutes",30 Minutes,,,,,,,
VIC,AusNet,"28/09/2021 17:00
Tuesday","28/09/2021 17:30
Tuesday",Hazelwood - South Morang No.2 500 kV Line,"<<NEW since the last notification>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could cause a large reduction in generation in Victoria. ",Day: 30 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
30 Minutes",30 Minutes,,,,,,,
NSW,Transgrid,"30/09/2021 06:00
Thursday","30/09/2021 18:00
Thursday",Tamworth No.1 330 kV Bus,"A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: 2 hrs,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Commissioning
12 Hours",12 Hours,,,,,,,
NSW,Transgrid,"30/09/2021 06:00
Thursday","30/09/2021 18:00
Thursday",Armidale - Tamworth (86) 330 kV Line,"A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Maintenance
12 Hours",12 Hours,,,,,,,
NSW,Transgrid,"30/09/2021 06:00
Thursday","30/09/2021 18:00
Thursday",Tamworth Liddell PS (84) 330 kV Line,"A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Commissioning
12 Hours",12 Hours,,,,,,,
NSW,Transgrid,"01/10/2021 06:00
Friday","01/10/2021 18:00
Friday",Tamworth No.1 330 kV Bus,"A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: 2 hrs,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Commissioning
12 Hours",12 Hours,,,,,,,
NSW,Transgrid,"01/10/2021 06:00
Friday","01/10/2021 18:00
Friday",Armidale - Tamworth (86) 330 kV Line,"A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Maintenance
12 Hours",12 Hours,,,,,,,
NSW,Transgrid,"01/10/2021 06:00
Friday","01/10/2021 18:00
Friday",Tamworth Liddell PS (84) 330 kV Line,"A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Commissioning
12 Hours",12 Hours,,,,,,,
VIC,AusNet,"01/10/2021 06:45
Friday","01/10/2021 17:00
Friday",South Morang - Sydenham No.1 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 1 hr-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"Maintenance
10.3 Hours",10.3 Hours,,,,,,,
