Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Impact Region,
Reason and
Duration",Vs Old,Duration,,,,,,,
QLD,Powerlink,"19/04/2022 07:07
Tuesday","19/04/2022 16:00
Tuesday",Stanwell - Broadsound (856) 275 kV Line,"<<UPDATED since the last notification>>
This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 4 hrs-Night: NA,Planned - RESUBMIT,"Planned - RESUBMIT
",,,T,T,,"QLD
Maintenance
8.9 Hours",#REF!,8.9 Hours,,,,,,,
QLD,Powerlink,"20/04/2022 07:00
Wednesday","20/04/2022 16:00
Wednesday",Stanwell - Broadsound (856) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 4 hrs-Night: NA,Planned - RESUBMIT,"Planned - RESUBMIT
",,,T,T,,"QLD
Maintenance
9 Hours",#REF!,9 Hours,,,,,,,
NSW,Transgrid,"20/04/2022 09:00
Wednesday","20/04/2022 11:30
Wednesday",Wagga - Darlington Point (63) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer 
•Between Victoria and New South Wales.
•Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 1 hr-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"NSW/ VIC
Maintenance
2.5 Hours",#REF!,2.5 Hours,,,,,,,
QLD,Powerlink,"21/04/2022 07:00
Thursday","21/04/2022 16:00
Thursday",Stanwell - Broadsound (856) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 4 hrs-Night: NA,Planned - RESUBMIT,"Planned - RESUBMIT
",,,T,T,,"QLD
Maintenance
9 Hours",#REF!,9 Hours,,,,,,,
QLD,Powerlink,"22/04/2022 07:00
Friday","22/04/2022 16:00
Friday",Stanwell - Broadsound (856) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 4 hrs-Night: NA,Planned - RESUBMIT,"Planned - RESUBMIT
",,,T,T,,"QLD
Maintenance
9 Hours",#REF!,9 Hours,,,,,,,
QLD,Powerlink,"23/04/2022 07:00
Saturday","23/04/2022 16:00
Saturday",Stanwell - Broadsound (856) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,,"QLD
Maintenance
9 Hours",#REF!,9 Hours,,,,,,,
QLD,Powerlink,"24/04/2022 07:00
Sunday","24/04/2022 16:00
Sunday",Stanwell - Broadsound (856) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,,"QLD
Maintenance
9 Hours",#REF!,9 Hours,,,,,,,
QLD,Powerlink,"26/04/2022 07:00
Tuesday","26/04/2022 16:00
Tuesday",Stanwell - Broadsound (856) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,,"QLD
Maintenance
9 Hours",#REF!,9 Hours,,,,,,,
QLD,Powerlink,"27/04/2022 07:00
Wednesday","27/04/2022 16:00
Wednesday",Stanwell - Broadsound (856) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,,"QLD
Maintenance
9 Hours",#REF!,9 Hours,,,,,,,
QLD,Powerlink,"28/04/2022 07:00
Thursday","28/04/2022 16:00
Thursday",Stanwell - Broadsound (856) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,,"QLD
Maintenance
9 Hours",#REF!,9 Hours,,,,,,,
