Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Impact Region,
Reason and
Duration",Vs Old,Duration,,,,,,,
TAS,TasNetworks,"28/05/2024 08:00
Tuesday","31/05/2024 14:00
Friday",Sheffield - Farrell No.2 220 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ",Day: 24 hrs-Night: 24 hrs,Planned - STLTP,"Planned - STLTP
",T,,,T,,"TAS
Commissioning
3.3 Days",#REF!,3.3 Days,,,,,,,
VIC,AusNet,"31/05/2024 12:00
Friday","31/05/2024 16:30
Friday",Rowville - South Morang 500 kV Line,"<<NEW since the last notification>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 30 mins-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC
Maintenance
4.5 Hours",#REF!,4.5 Hours,,,,,,,
TAS,TasNetworks,"31/05/2024 14:00
Friday","31/05/2024 16:00
Friday",Sheffield - Farrell No.2 220 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ",Day: 1 hr-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"TAS
Maintenance
2 Hours",#REF!,2 Hours,,,,,,,
TAS,TasNetworks,"01/06/2024 08:00
Saturday","01/06/2024 14:30
Saturday",Sheffield - Farrell No.2 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,,"
Commissioning
6.5 Hours",#REF!,6.5 Hours,,,,,,,
NSW,Transgrid,"03/06/2024 07:00
Monday","03/06/2024 18:00
Monday",Tamworth No.3 330 kV Bus,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 8 hrs-Night: 8 hrs,Withdrawn,"Withdrawn
",,,T,T,T,"NSW / QLD
Commissioning
11 Hours",#REF!,11 Hours,,,,,,,
VIC,AusNet,"04/06/2024 06:00
Tuesday","04/06/2024 18:00
Tuesday",Moorabool - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",T,,,T,T,"VIC / SA
Maintenance
12 Hours",#REF!,12 Hours,,,,,,,
VIC,AusNet,"04/06/2024 06:00
Tuesday","04/06/2024 18:00
Tuesday",Heywood - Mortlake 500 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Withdrawn,"Withdrawn
",,,,,,"VIC / SA
Maintenance
12 Hours",#REF!,12 Hours,,,,,,,
VIC,AusNet,"05/06/2024 06:00
Wednesday","05/06/2024 18:00
Wednesday",Moorabool - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 4 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",T,,,T,T,"VIC / SA
Maintenance
12 Hours",#REF!,12 Hours,,,,,,,
VIC,AusNet,"05/06/2024 07:00
Wednesday","05/06/2024 16:00
Wednesday",Hazelwood - Rowville 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
9 Hours",#REF!,9 Hours,,,,,,,
QLD,Powerlink,"05/06/2024 10:00
Wednesday","07/06/2024 16:00
Friday",Bouldercombe - Broadsound (820) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 2 hrs-Night: 3 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Commissioning
2.3 Days",#REF!,2.3 Days,,,,,,,
