Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Impact Region,
Reason and
Duration",Vs Old,Duration,,,,,,,
QLD,Powerlink,"07/11/2022 14:30
Monday","11/11/2022 14:00
Friday",Nebo - Strathmore (8845) 275 kV Line,"<<NEW since the last notification>>
This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 8 hrs-Night: 12 hrs,Planned - PDLTP,"Planned - PDLTP
",,,T,T,,"QLD
Commissioning
4 Days",#REF!,4 Days,,,,,,,
VIC,AusNet,"08/11/2022 04:30
Tuesday","10/11/2022 17:00
Thursday",Heywood - South East No.2 275 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 0 mins-Night: NA,Withdraw Requested,"Withdraw Requested
",,,,,T,"VIC / SA
Maintenance
2.5 Days",#REF!,2.5 Days,,,,,,,
NSW,Transgrid,"10/11/2022 05:00
Thursday","10/11/2022 17:00
Thursday",Buronga-Balranald (X3) 220kV line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
During this planned outage power transfer will be restricted
• Between Victoria and New South Wales.
• Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require:
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 6 hrs-Night: 6 hrs,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"NSW/VIC/SA
Commissioning
12 Hours",#REF!,12 Hours,,,,,,,
QLD,Powerlink,"10/11/2022 07:30
Thursday","10/11/2022 16:30
Thursday",Ross No.4 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 2 hrs-Night: NA,Planned - RESUBMIT,"Planned - RESUBMIT
",,,T,T,,"
Commissioning
9 Hours",#REF!,9 Hours,,,,,,,
NSW,Transgrid,"10/11/2022 16:00
Thursday","10/11/2022 17:00
Thursday",Wagga - Darlington Point (63) 330 kV Line,"<<This outage has been WITHDRAWN!>>
This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer 
•Between Victoria and New South Wales.
•Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: NA-Night: NA,Withdrawn,"Withdrawn
",,,,T,T,"NSW/ VIC
Commissioning
1 Hours",#REF!,1 Hours,,,,,,,
VIC,AusNet,"11/11/2022 05:00
Friday","11/11/2022 15:00
Friday",Heywood - Tarrone 500 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,T,"VIC
Maintenance
10 Hours",#REF!,10 Hours,,,,,,,
VIC,AusNet,"12/11/2022 05:00
Saturday","12/11/2022 15:00
Saturday",Heywood - Tarrone 500 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - RESUBMIT,"Planned - RESUBMIT
",,,,T,T,"VIC
Maintenance
10 Hours",#REF!,10 Hours,,,,,,,
QLD,Powerlink,"12/11/2022 08:30
Saturday","12/11/2022 14:30
Saturday",Haughton River - Ross (8911) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions.",Day: 1.5 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,,"QLD
Maintenance
6 Hours",#REF!,6 Hours,,,,,,,
VIC,AusNet,"13/11/2022 05:00
Sunday","13/11/2022 15:00
Sunday",Heywood - Tarrone 500 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - RESUBMIT,"Planned - RESUBMIT
",,,,T,T,"VIC
Maintenance
10 Hours",#REF!,10 Hours,,,,,,,
QLD,Powerlink,"13/11/2022 08:30
Sunday","15/11/2022 16:00
Tuesday",Nebo - Broadsound (8847) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 4 hrs-Night: 8 hrs,Planned - MTLTP,"Planned - MTLTP
",,,,T,,"
Maintenance
2.3 Days",#REF!,2.3 Days,,,,,,,
