Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Impact Region,
Reason and
Duration",Vs Old,Duration,,,,,,,
QLD,Powerlink,"06/12/2023 07:00
Wednesday","06/12/2023 17:00
Wednesday",Bouldercombe - Nebo (821) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,,"QLD
Commissioning
10 Hours",#REF!,10 Hours,,,,,,,
TAS,TasNetworks,"08/12/2023 08:00
Friday","08/12/2023 15:00
Friday",Sheffield - Farrell No.2 220 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",T,,,T,T,"TAS
Commissioning
7 Hours",#REF!,7 Hours,,,,,,,
VIC,AusNet,"09/12/2023 08:30
Saturday","09/12/2023 09:00
Saturday",Heywood No.2 500 kV Bus,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 1 hr-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
30 Minutes",#REF!,30 Minutes,,,,,,,
VIC,AusNet,"09/12/2023 08:30
Saturday","09/12/2023 11:30
Saturday",Hazelwood - South Morang No.1 500 kV Line,"<<NEW since the last notification>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
3 Hours",#REF!,3 Hours,,,,,,,
TAS,TasNetworks,"18/12/2023 13:00
Monday","18/12/2023 15:30
Monday",Gordon - Chapel St No.2 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 1 hr-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,,"TAS
Commissioning
2.5 Hours",#REF!,2.5 Hours,,,,,,,
VIC,AusNet,"31/12/2023 06:00
Sunday","31/12/2023 16:00
Sunday",Hazelwood - Loy Yang Power Station No.2 500 kV Line,"A credible contingency event during this planned outage could cause:
• A large reduction in generation in Victoria
• Load shedding in Victoria",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
10 Hours",#REF!,10 Hours,,,,,,,
NSW,Transgrid,"09/01/2024 05:00
Tuesday","09/01/2024 15:00
Tuesday",Tamworth - Uralla (85) 330 kV Line,"A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"NSW / QLD
Commissioning
10 Hours",#REF!,10 Hours,,,,,,,
QLD,Powerlink,"09/01/2024 08:30
Tuesday","09/01/2024 11:00
Tuesday",Strathmore - Ross (8858) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions.",Day: 1 hr-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,,,"QLD
Maintenance
2.5 Hours",#REF!,2.5 Hours,,,,,,,
NSW,Transgrid,"10/01/2024 05:00
Wednesday","10/01/2024 15:00
Wednesday",Armidale - Uralla (8U) 330 kV Line,"A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,T,"NSW / QLD
Commissioning
10 Hours",#REF!,10 Hours,,,,,,,
TAS,TasNetworks,"10/01/2024 08:00
Wednesday","10/01/2024 15:00
Wednesday",Sheffield - Farrell No.1 220 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",T,,,T,T,"TAS
Commissioning
7 Hours",#REF!,7 Hours,,,,,,,
NSW,Transgrid,"11/01/2024 05:00
Thursday","11/01/2024 15:00
Thursday",Armidale - Sapphire WF (8E) 330 kV Line,"A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"NSW / QLD
Commissioning
10 Hours",#REF!,10 Hours,,,,,,,
NSW,Transgrid,"12/01/2024 05:00
Friday","12/01/2024 15:00
Friday",Armidale - Dumaresq (8C) 330 kV Line,"A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"NSW / QLD
Commissioning
10 Hours",#REF!,10 Hours,,,,,,,
TAS,TasNetworks,"22/01/2024 07:00
Monday","22/01/2024 11:00
Monday",Sheffield - Farrell No.1 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 30 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"TAS
Commissioning
4 Hours",#REF!,4 Hours,,,,,,,
TAS,TasNetworks,"30/01/2024 07:00
Tuesday","02/02/2024 11:00
Friday",Sheffield - Farrell No.1 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 4 hrs-Night: 4 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"TAS
Commissioning
3.2 Days",#REF!,3.2 Days,,,,,,,
QLD,Powerlink,"01/02/2024 07:30
Thursday","01/02/2024 17:00
Thursday",Nebo - Strathmore (8845) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 4 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"QLD
Maintenance
9.5 Hours",#REF!,9.5 Hours,,,,,,,
QLD,Powerlink,"08/02/2024 08:00
Thursday","09/02/2024 16:00
Friday",Strathmore - Ross (8858) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions.",Day: 5 hrs-Night: 8 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"QLD
Commissioning
1.3 Days",#REF!,1.3 Days,,,,,,,
QLD,Powerlink,"13/02/2024 08:00
Tuesday","15/02/2024 13:00
Thursday",Strathmore - Ross (8857) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions.",Day: 6 hrs-Night: 12 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"QLD
Commissioning
2.2 Days",#REF!,2.2 Days,,,,,,,
QLD,Powerlink,"04/03/2024 08:00
Monday","08/03/2024 17:00
Friday",Nebo - Strathmore (822) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 48 hrs-Night: 48 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Maintenance
4.4 Days",#REF!,4.4 Days,,,,,,,
VIC,AusNet,"05/03/2024 06:00
Tuesday","05/03/2024 15:00
Tuesday",Hazelwood - Rowville 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
9 Hours",#REF!,9 Hours,,,,,,,
