Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Impact Region,
Reason and
Duration",Vs Old,Duration,,,,,,,
QLD,Powerlink,"07/07/2022 08:46
Thursday","13/07/2022 14:30
Wednesday",Ross No.2 288/138/19 kV Transformer,"<<NEW since the last notification>>
This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 12 hrs-Night: 16 hrs,In Progress - PTP,"In Progress - PTP
",,,T,,,"QLD
Maintenance
6.2 Days",#REF!,6.2 Days,,,,,,,
SA,ElectraNet,"11/07/2022 10:00
Monday","11/07/2022 10:15
Monday",Tailem Bend - South East  No.1 275 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 159 hrs-Night: 159 hrs,Planned - PDLTP,"Planned - PDLTP
",,,,,,"SA
Commissioning
15 Minutes",#REF!,15 Minutes,,,,,,,
SA,ElectraNet,"12/07/2022 08:00
Tuesday","17/07/2022 08:00
Sunday",Tailem Bend - South East  No.1 275 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 159 hrs-Night: 159 hrs,Withdrawn,"Withdrawn
",,,T,,T,"SA
Commissioning
5 Days",#REF!,5 Days,,,,,,,
VIC,AusNet,"14/07/2022 07:00
Thursday","14/07/2022 17:00
Thursday",Rowville - South Morang 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 3 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC
Maintenance
10 Hours",#REF!,10 Hours,,,,,,,
VIC,AusNet,"15/07/2022 08:30
Friday","15/07/2022 10:00
Friday",Hazelwood - Loy Yang Power Station No.1 500 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause:
• A large reduction in generation in Victoria
• Load shedding in Victoria",Day: 30 mins-Night: NA,Withdrawn,"Withdrawn
",,,,,,"VIC
Maintenance
1.5 Hours",#REF!,1.5 Hours,,,,,,,
SA,ElectraNet,"16/07/2022 08:00
Saturday","19/07/2022 17:30
Tuesday",Tailem Bend - South East  No.1 275 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 72 hrs-Night: 72 hrs,Planned - MTLTP,"Planned - MTLTP
",,,T,,T,"SA
Commissioning
3.4 Days",#REF!,3.4 Days,,,,,,,
SA,ElectraNet,"17/07/2022 08:00
Sunday","19/07/2022 12:30
Tuesday",Tailem Bend - South East  No.1 275 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 159 hrs-Night: 159 hrs,Withdrawn,"Withdrawn
",,,T,,T,"SA
Commissioning
2.2 Days",#REF!,2.2 Days,,,,,,,
SA,ElectraNet,"19/07/2022 12:30
Tuesday","21/07/2022 17:30
Thursday",Tailem Bend - South East  No.1 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 159 hrs-Night: 159 hrs,Planned - MTLTP,"Planned - MTLTP
",,,T,,,"SA
Commissioning
2.2 Days",#REF!,2.2 Days,,,,,,,
VIC,AusNet,"22/07/2022 06:30
Friday","22/07/2022 17:00
Friday",Rowville - South Morang 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC
Maintenance
10.5 Hours",#REF!,10.5 Hours,,,,,,,
QLD,Powerlink,"22/07/2022 08:30
Friday","22/07/2022 14:00
Friday",Ross No.2 288/138/19 kV Transformer,"<<This outage has been WITHDRAWN!>>
This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 1 hr-Night: NA,Withdrawn,"Withdrawn
",,,T,,,"
Maintenance
5.5 Hours",#REF!,5.5 Hours,,,,,,,
