Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Impact Region,
Reason and
Duration",Vs Old,Duration,,,,,,,
QLD,Powerlink,"17/10/2022 09:00
Monday","28/10/2022 17:00
Friday",Nebo - Strathmore (8845) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 24 hrs-Night: 48 hrs,Planned - PDLTP,"Planned - PDLTP
",,,T,T,,"QLD
Commissioning
11.3 Days",#REF!,11.3 Days,,,,,,,
VIC,AusNet,"18/10/2022 04:30
Tuesday","21/10/2022 17:00
Friday",Heywood - South East No.1 275 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: NA-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,T,"VIC / SA
Maintenance
3.5 Days",#REF!,3.5 Days,,,,,,,
TAS,TasNetworks,"18/10/2022 07:00
Tuesday","18/10/2022 15:30
Tuesday",Gordon - Chapel St No.1 220 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ",Day: 2 hrs-Night: NA,Withdrawn,"Withdrawn
",,,,T,,"TAS
Maintenance
8.5 Hours",#REF!,8.5 Hours,,,,,,,
TAS,TasNetworks,"19/10/2022 07:00
Wednesday","19/10/2022 15:00
Wednesday",Gordon - Chapel St No.2 220 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ",Day: 2 hrs-Night: NA,Withdrawn,"Withdrawn
",,,,T,,"TAS
Maintenance
8 Hours",#REF!,8 Hours,,,,,,,
NSW,Transgrid,"21/10/2022 06:00
Friday","23/10/2022 16:00
Sunday",Jindera - Wagga (62) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer 
• Between Victoria and New South Wales.
• Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 6 hrs-Night: 6 hrs,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"NSW/ VIC
Commissioning
2.4 Days",#REF!,2.4 Days,,,,,,,
NSW,Transgrid,"25/10/2022 06:00
Tuesday","26/10/2022 17:00
Wednesday",Wagga - Darlington Point (63) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer 
•Between Victoria and New South Wales.
•Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 4 hrs-Night: 4 hrs,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"NSW/ VIC
Commissioning
1.5 Days",#REF!,1.5 Days,,,,,,,
VIC,AusNet,"27/10/2022 06:00
Thursday","27/10/2022 17:00
Thursday",Kerang-Wemen 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"VIC
Maintenance
11 Hours",#REF!,11 Hours,,,,,,,
VIC,AusNet,"27/10/2022 07:30
Thursday","27/10/2022 17:30
Thursday",Rowville - South Morang 500 kV Line,"<<NEW since the last notification>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 30 mins-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC
Maintenance
10 Hours",#REF!,10 Hours,,,,,,,
VIC,AusNet,"28/10/2022 06:30
Friday","28/10/2022 16:30
Friday",Kerang-Wemen 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"
Maintenance
10 Hours",#REF!,10 Hours,,,,,,,
VIC,AusNet,"29/10/2022 06:30
Saturday","29/10/2022 16:30
Saturday",Rowville - South Morang 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 30 mins-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC
Maintenance
10 Hours",#REF!,10 Hours,,,,,,,
QLD,Powerlink,"31/10/2022 09:00
Monday","04/11/2022 12:00
Friday",Nebo - Strathmore (8845) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 8 hrs-Night: 12 hrs,Planned - MTLTP,"Planned - MTLTP
",,,T,T,,"QLD
Commissioning
4.1 Days",#REF!,4.1 Days,,,,,,,
VIC,AusNet,"01/11/2022 05:00
Tuesday","01/11/2022 17:00
Tuesday",Bendigo - Kerang 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
12 Hours",#REF!,12 Hours,,,,,,,
VIC,AusNet,"02/11/2022 05:30
Wednesday","02/11/2022 16:00
Wednesday",Rowville - South Morang 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC
Maintenance
10.5 Hours",#REF!,10.5 Hours,,,,,,,
VIC,AusNet,"04/11/2022 05:30
Friday","04/11/2022 16:30
Friday",Keilor - South Morang 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC
Maintenance
11 Hours",#REF!,11 Hours,,,,,,,
VIC,AusNet,"05/11/2022 07:30
Saturday","05/11/2022 17:30
Saturday",Rowville - South Morang 500 kV Line,"<<This outage has been WITHDRAWN!>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 30 mins-Night: NA,Withdrawn,"Withdrawn
",,,,,,"VIC
Maintenance
10 Hours",#REF!,10 Hours,,,,,,,
VIC,AusNet,"06/11/2022 07:30
Sunday","06/11/2022 17:30
Sunday",Rowville - South Morang 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 30 mins-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC
Maintenance
10 Hours",#REF!,10 Hours,,,,,,,
VIC,AusNet,"07/11/2022 05:00
Monday","10/11/2022 17:00
Thursday",Heywood - South East No.2 275 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: NA-Night: NA,Planned - RESUBMIT,"Planned - RESUBMIT
",,,,,T,"VIC / SA
Maintenance
3.5 Days",#REF!,3.5 Days,,,,,,,
VIC,AusNet,"07/11/2022 07:30
Monday","07/11/2022 17:30
Monday",Rowville - South Morang 500 kV Line,"<<This outage has been WITHDRAWN!>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 30 mins-Night: NA,Withdrawn,"Withdrawn
",,,,,,"VIC
Maintenance
10 Hours",#REF!,10 Hours,,,,,,,
