Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Impact Region,
Reason and
Duration",Vs Old,Duration,,,,,,,
VIC,AusNet,"04/09/2023 09:00
Monday","04/09/2023 19:00
Monday",Moorabool - Mortlake 500 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Withdrawn - UTP,"Withdrawn - UTP
",,,T,T,T,"VIC / SA
Maintenance
10 Hours",#REF!,10 Hours,,,,,,,
QLD,Powerlink,"04/09/2023 13:00
Monday","11/10/2023 17:00
Wednesday",Bouldercombe - Nebo (821) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: NA-Night: NA,Planned - PDLTP,"Planned - PDLTP
",,,T,T,,"QLD
Commissioning
37.2 Days",#REF!,37.2 Days,,,,,,,
VIC,AusNet,"05/09/2023 07:00
Tuesday","05/09/2023 17:00
Tuesday",Heywood - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC / SA
Maintenance
10 Hours",#REF!,10 Hours,,,,,,,
VIC,AusNet,"06/09/2023 07:00
Wednesday","06/09/2023 17:00
Wednesday",Moorabool - Mortlake 500 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Withdrawn,"Withdrawn
",,,,,,"VIC / SA
Maintenance
10 Hours",#REF!,10 Hours,,,,,,,
VIC,AusNet,"07/09/2023 06:00
Thursday","07/09/2023 19:00
Thursday",Jindera - Wodonga (060) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer
• Between Victoria and New South Wales.
• Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 3 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"NSW/ VIC
Maintenance
13 Hours",#REF!,13 Hours,,,,,,,
VIC,AusNet,"08/09/2023 06:00
Friday","08/09/2023 19:00
Friday",Jindera - Wodonga (060) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer
• Between Victoria and New South Wales.
• Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 3 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"NSW/ VIC
Maintenance
13 Hours",#REF!,13 Hours,,,,,,,
VIC,AusNet,"09/09/2023 06:00
Saturday","09/09/2023 18:00
Saturday",Red Cliffs No.2 220 kV Bus,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C 
This bus outage offloads Red Cliffs - Kiamal 220kV line, and Red Cliffs capacitor banks will be unavailable for automatic switching.
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"VIC
Maintenance
12 Hours",#REF!,12 Hours,,,,,,,
VIC,AusNet,"12/09/2023 06:00
Tuesday","12/09/2023 18:00
Tuesday",Red Cliffs No.2 220 kV Bus,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C 
This bus outage offloads Red Cliffs - Kiamal 220kV line, and Red Cliffs capacitor banks will be unavailable for automatic switching.
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"VIC
Maintenance
12 Hours",#REF!,12 Hours,,,,,,,
NSW,Transgrid,"12/09/2023 06:00
Tuesday","12/09/2023 18:00
Tuesday",Kiamal SF - Red Cliffs 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,,"NSW/VIC
Maintenance
12 Hours",#REF!,12 Hours,,,,,,,
VIC,AusNet,"13/09/2023 06:00
Wednesday","13/09/2023 18:00
Wednesday",Red Cliffs No.2 220 kV Bus,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C 
This bus outage offloads Red Cliffs - Kiamal 220kV line, and Red Cliffs capacitor banks will be unavailable for automatic switching.
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"VIC
Maintenance
12 Hours",#REF!,12 Hours,,,,,,,
NSW,Transgrid,"13/09/2023 06:00
Wednesday","13/09/2023 18:00
Wednesday",Kiamal SF - Red Cliffs 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,,"NSW/VIC
Maintenance
12 Hours",#REF!,12 Hours,,,,,,,
VIC,AusNet,"14/09/2023 06:00
Thursday","14/09/2023 18:00
Thursday",Red Cliffs No.2 220 kV Bus,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C 
This bus outage offloads Red Cliffs - Kiamal 220kV line, and Red Cliffs capacitor banks will be unavailable for automatic switching.
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"VIC
Maintenance
12 Hours",#REF!,12 Hours,,,,,,,
NSW,Transgrid,"14/09/2023 06:00
Thursday","14/09/2023 18:00
Thursday",Kiamal SF - Red Cliffs 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,,"NSW/VIC
Maintenance
12 Hours",#REF!,12 Hours,,,,,,,
VIC,AusNet,"22/09/2023 07:30
Friday","22/09/2023 16:30
Friday",South Morang - Sydenham No.1 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
9 Hours",#REF!,9 Hours,,,,,,,
