Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Impact Region,
Reason and
Duration",Vs Old,Duration,,,,,,,
TAS,TasNetworks,"06/07/2023 15:00
Thursday","06/07/2023 16:00
Thursday",Gordon - Chapel St No.1 220 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ",Day: 30 mins-Night: NA,Planned - RESUBMIT,"Planned - STLTP
",,,,T,,"TAS
Commissioning
60 Minutes",#REF!,60 Minutes,,,,,,,
QLD,Powerlink,"10/07/2023 08:00
Monday","10/07/2023 16:00
Monday",Strathmore - Ross (8858) 275 kV Line,"<<This outage has been WITHDRAWN!>>
This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions.",Day: 3 hrs-Night: NA,Withdrawn,"Withdrawn
",,,T,T,,"QLD
Commissioning
8 Hours",#REF!,8 Hours,,,,,,,
QLD,Powerlink,"18/07/2023 07:00
Tuesday","18/07/2023 16:00
Tuesday",Stanwell - Broadsound (856) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,,"QLD
Maintenance
9 Hours",#REF!,9 Hours,,,,,,,
VIC,AusNet,"19/07/2023 06:30
Wednesday","19/07/2023 17:00
Wednesday",Heywood - South East No.1 275 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
10.5 Hours",#REF!,10.5 Hours,,,,,,,
VIC,AusNet,"19/07/2023 06:30
Wednesday","19/07/2023 18:30
Wednesday",Bulgana - Horsham 220 kV Line,"<<NEW since the last notification>>
This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 3 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,T,"VIC
Maintenance
12 Hours",#REF!,12 Hours,,,,,,,
QLD,Powerlink,"19/07/2023 07:00
Wednesday","19/07/2023 16:00
Wednesday",Stanwell - Broadsound (856) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 4 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"QLD
Maintenance
9 Hours",#REF!,9 Hours,,,,,,,
SA,ElectraNet,"19/07/2023 09:00
Wednesday","21/07/2023 16:30
Friday",Tailem Bend - Tungkillo No.2 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 48 hrs-Night: 48 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"SA
Maintenance
2.3 Days",#REF!,2.3 Days,,,,,,,
VIC,AusNet,"20/07/2023 06:30
Thursday","20/07/2023 17:00
Thursday",Heywood - South East No.2 275 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
10.5 Hours",#REF!,10.5 Hours,,,,,,,
VIC,AusNet,"20/07/2023 06:30
Thursday","20/07/2023 18:30
Thursday",Bulgana - Horsham 220 kV Line,"<<NEW since the last notification>>
This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 3 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,T,"VIC
Maintenance
12 Hours",#REF!,12 Hours,,,,,,,
QLD,Powerlink,"20/07/2023 07:00
Thursday","20/07/2023 16:00
Thursday",Stanwell - Broadsound (856) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 4 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"QLD
Maintenance
9 Hours",#REF!,9 Hours,,,,,,,
