Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Reason and
Duration",Duration,,,,,,,
QLD,Powerlink,"27/10/2021 15:33
Wednesday","06/11/2021 17:00
Saturday",Nebo - Broadsound (8847) 275 kV Line,"<<UPDATED since the last notification>>
This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: NA-Night: NA,In Progress - PTP,"In Progress - PTP
",,,T,T,,"Commissioning
10.1 Days",10.1 Days,,,,,,,
VIC,AusNet,"31/10/2021 01:49
Sunday","03/11/2021 05:00
Wednesday",Hazelwood - South Morang No.1 500 kV Line,"<<NEW since the last notification>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could cause a large reduction in generation in Victoria. ",Day: 0 mins-Night: NA,In Progress - PTP,"In Progress - PTP
",,,,,,"Voltage Control
3.1 Days",3.1 Days,,,,,,,
NSW,Transgrid,"01/11/2021 05:02
Monday","06/11/2021 16:00
Saturday",Lower Tumut - Wagga  (051) 330 kV Line,"<<UPDATED since the last notification>>
This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer 
• Between Victoria and New South Wales.
• Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 48 hrs-Night: 48 hrs,In Progress - PTP,"In Progress - PTP
",,,T,T,T,"Commissioning
5.5 Days",5.5 Days,,,,,,,
NSW,Transgrid,"01/11/2021 05:02
Monday","06/11/2021 16:00
Saturday",Wagga (A) 330 kV Bus,"<<UPDATED since the last notification>>
This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer 
•Between Victoria and New South Wales.
•Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 8 hrs-Night: 8 hrs,In Progress - PTP,"In Progress - PTP
",,,T,T,T,"Commissioning
5.5 Days",5.5 Days,,,,,,,
NSW,Transgrid,"01/11/2021 05:02
Monday","06/11/2021 16:00
Saturday",Wagga - Darlington Point (63) 330 kV Line,"<<UPDATED since the last notification>>
This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer 
•Between Victoria and New South Wales.
•Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 12 hrs-Night: 12 hrs,In Progress - PTP,"In Progress - PTP
",,,T,T,T,"Commissioning
5.5 Days",5.5 Days,,,,,,,
NSW,Transgrid,"01/11/2021 05:48
Monday","05/11/2021 16:00
Friday",Buronga-Balranald (X3) 220kV line,"<<UPDATED since the last notification>>
This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
During this planned outage power transfer will be restricted
• Between Victoria and New South Wales.
• Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require:
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 8 hrs-Night: 10 hrs,In Progress - PTP,"In Progress - PTP
",,,T,T,T,"Commissioning
4.4 Days",4.4 Days,,,,,,,
NSW,Transgrid,"04/11/2021 05:00
Thursday","04/11/2021 18:00
Thursday",Liddell to Muswellbrook (83) 330 kV Line,"A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Commissioning
13 Hours",13 Hours,,,,,,,
NSW,Transgrid,"06/11/2021 05:00
Saturday","10/11/2021 16:00
Wednesday",Armidale - Tamworth (86) 330 kV Line,"A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 8 hrs-Night: 8 hrs,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Commissioning
4.5 Days",4.5 Days,,,,,,,
NSW,Transgrid,"06/11/2021 05:00
Saturday","06/11/2021 19:00
Saturday",Tamworth No.1 330 kV Bus,"A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: 2 hrs,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Commissioning
14 Hours",14 Hours,,,,,,,
NSW,Transgrid,"08/11/2021 05:00
Monday","08/11/2021 19:00
Monday",Tamworth No.1 330 kV Bus,"A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: 2 hrs,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Commissioning
14 Hours",14 Hours,,,,,,,
